=== 23:46:19 fightrc iter 1 seed 940911 START ===
[cem] start panel (default) over 5 held-out seeds: 72.15%
[cem] pass 1 gen 1/12: best-cand 72.71% | traj 68.21% | global-best(panel) 72.15%
[cem] pass 1 gen 2/12: best-cand 70.99% | traj 72.35% | global-best(panel) 72.15%
[cem] pass 1 gen 3/12: best-cand 71.63% | traj 71.75% | global-best(panel) 72.15%
[cem] pass 1 gen 4/12: best-cand 71.57% | traj 71.79% | global-best(panel) 72.15%
[cem] pass 1 gen 5/12: best-cand 71.40% | traj 71.14% | global-best(panel) 72.15%
[cem] pass 1 gen 6/12: best-cand 71.71% | traj 69.88% | global-best(panel) 72.15%
[cem] pass 1 gen 7/12: best-cand 72.54% | traj 72.67% | global-best(panel) 72.15%
[cem] pass 1 gen 8/12: best-cand 72.79% | traj 71.78% | global-best(panel) 72.15%
[cem] pass 1 gen 9/12: best-cand 73.30% | traj 72.24% | global-best(panel) 72.15%
[cem] pass 1 gen 10/12: best-cand 73.87% | traj 72.91% | global-best(panel) 72.15%
[cem] pass 1 gen 11/12: best-cand 72.56% | traj 70.93% | global-best(panel) 72.15%
[cem] pass 1 gen 12/12: best-cand 73.12% | traj 73.37% | global-best(panel) 72.15%
[cem] pass 1 IMPROVED -> panel 72.42% (new global best).
[cem] pass 2 gen 1/12: best-cand 72.43% | traj 68.81% | global-best(panel) 72.42%
[cem] pass 2 gen 2/12: best-cand 70.98% | traj 72.41% | global-best(panel) 72.42%
[cem] pass 2 gen 3/12: best-cand 72.78% | traj 72.74% | global-best(panel) 72.42%
[cem] pass 2 gen 4/12: best-cand 73.82% | traj 72.66% | global-best(panel) 72.42%
[cem] pass 2 gen 5/12: best-cand 72.41% | traj 72.28% | global-best(panel) 72.42%
[cem] pass 2 gen 6/12: best-cand 72.98% | traj 71.00% | global-best(panel) 72.42%
[cem] pass 2 gen 7/12: best-cand 72.59% | traj 72.59% | global-best(panel) 72.42%
[cem] pass 2 gen 8/12: best-cand 72.47% | traj 72.40% | global-best(panel) 72.42%
[cem] pass 2 gen 9/12: best-cand 72.87% | traj 73.18% | global-best(panel) 72.42%
[cem] pass 2 gen 10/12: best-cand 73.02% | traj 72.70% | global-best(panel) 72.42%
[cem] pass 2 gen 11/12: best-cand 72.40% | traj 70.62% | global-best(panel) 72.42%
[cem] pass 2 gen 12/12: best-cand 73.36% | traj 72.95% | global-best(panel) 72.42%
[cem] pass 2 panel 72.30% <= global best 72.42% — restart from best.
[cem] pass 3 gen 1/12: best-cand 72.26% | traj 69.18% | global-best(panel) 72.42%
[cem] pass 3 gen 2/12: best-cand 72.85% | traj 71.13% | global-best(panel) 72.42%
[cem] pass 3 gen 3/12: best-cand 72.27% | traj 70.93% | global-best(panel) 72.42%
[cem] pass 3 gen 4/12: best-cand 73.42% | traj 72.33% | global-best(panel) 72.42%
